,Organisation Code,Name,Address,Postcode,Contact Telephone Number,Number of patients registered at the GP practice,loc,Point,Latitude,Longitude,Altitude
597,F84692,The Hoxton Surgery,"Hoxton Surgery, 12 Rushton Street, Hoxton, London, N1 5DR",N1 5DR,020 34870200,45506,"London Borough of Hackney, London, Hackney, Greater London, England, N1 5DR, United Kingdom","(51.53346315, -0.0868767, 0.0)",51.53346315,-0.0868766999999999,0.0
598,F84694,The Surgery (Brooke Road),"Brooke Road Surgery, 40-42 Brooke Road, Stoke Newington, London, N16 7LR",N16 7LR,020 72545652,5539,"London Borough of Hackney, London, Hackney, Greater London, England, N16 7LR, United Kingdom","(51.5600523160592, -0.07075477830280914, 0.0)",51.5600523160592,-0.0707547783028091,0.0
599,F84696,Tredegar Practice,"35 St.Stephens Road, Bow, London, E3 5JD",E3 5JD,020 89801822,3984,"London Borough of Tower Hamlets, London, Greater London, England, E3 5JD, United Kingdom","(51.5313129705715, -0.0318306063189417, 0.0)",51.5313129705715,-0.0318306063189417,0.0
600,F84698,Aberfeldy Practice,"2A Ettrick Street, Poplar, London, E14 0PU",E14 0PU,020 75155622,7123,E14 0PU,"(51.5143573, -0.0052836, 0.0)",51.5143573,-0.0052836,0.0
601,F84710,Island Health,"Island Health, 145 East Ferry Road, Isle Of Dogs, London, E14 3BQ",E14 3BQ,020 73631111,6713,"London Borough of Tower Hamlets, London, Greater London, England, E14 3BQ, United Kingdom","(51.49529699815572, -0.013293887827687182, 0.0)",51.495296998155716,-0.0132938878276871,0.0
602,F84711,Rosewood Practice,"Rosewood Practice, 1A Fountayne Road, London, N16 7EA",N16 7EA,020 76834847,9285,"London Borough of Hackney, London, Hackney, Greater London, England, N16 7EA, United Kingdom","(51.56442023163136, -0.06514483328093619, 0.0)",51.56442023163135,-0.0651448332809361,0.0
603,F84714,St. Paul'S Way Medical Ctr,"First Floor, 11 Selsey Street, London, E14 7LJ",E14 7LJ,020 75380833,4324,"Burdett Estate, London Borough of Tower Hamlets, London, Stratford, Greater London, England, E14 7LJ, United Kingdom","(51.51786237985586, -0.02448299380804977, 0.0)",51.51786237985586,-0.0244829938080497,0.0
604,F84716,The Allerton Road Surgery,"34A Allerton Road, Stoke Newington, London, N16 5UF",N16 5UF,020 88022882,5801,"London Borough of Hackney, London, Hackney, Greater London, England, N16 5UF, United Kingdom","(51.56572395449951, -0.09038308889810562, 0.0)",51.56572395449951,-0.0903830888981056,0.0
605,F84717,Royal Docks Medical Practice,"Royal Docks Medical Ctre, 21 East Ham Manor Way, Beckton, London, E6 5NA",E6 5NA,020 75114466,2908,"London Borough of Newham, London, East Ham, Greater London, England, E6 5NA, United Kingdom","(51.51006293644925, 0.062089971772465065, 0.0)",51.51006293644925,0.062089971772464995,0.0
606,F84718,The Blithehale Med.Ctr.,"Blithehale Health Centre, 10-22 Dunbridge Street, London, E2 6JA",E2 6JA,020 77395497,3541,"London Borough of Tower Hamlets, London, Greater London, England, E2 6JA, United Kingdom","(51.52377473995198, -0.06519608159712996, 0.0)",51.523774739951975,-0.0651960815971299,0.0
607,F84719,Latimer Health Centre,"Latimer Health Centre, 4 Homerton Terrace, Off Morning Lane,Hackney, London, E9 6RT",E9 6RT,020 89852249,3185,"London Borough of Hackney, London, Hackney, Greater London, England, E9 6RT, United Kingdom","(51.546589792450845, -0.04950273018779236, 0.0)",51.546589792450845,-0.0495027301877923,0.0
608,F84720,Healy Medical Centre,"Healy Medical Centre, 200 Upper Clapton Road, London, E5 9DH",E5 9DH,020 88061550,6424,"London Borough of Hackney, London, Hackney, Greater London, England, E5 9DH, United Kingdom","(51.566388349202164, -0.059791742810341685, 0.0)",51.56638834920216,-0.0597917428103416,0.0
609,F84724,Woodgrange Medical Practice,"Woodgrange Med Practice, 40 Woodgrange Road, Forest Gate, London, E7 0QH",E7 0QH,020 82213100,8048,"London Borough of Newham, London, East Ham, Greater London, England, E7 0QH, United Kingdom","(51.54855977689858, 0.025214303858726972, 0.0)",51.54855977689858,0.0252143038587269,0.0
610,F84729,The Manor Park Practice,"The Surgery, 778 Romford Road, Manor Park, London, E12 5JG",E12 5JG,020 84780533,17274,"London Borough of Newham, London, East Ham, Greater London, England, E12 5JG, United Kingdom","(51.55339807078315, 0.05585342984051798, 0.0)",51.55339807078314,0.0558534298405179,0.0
611,F84730,Dr Pcl Knight,"Vicarage Lane Health Ctr, 10 Vicarage Lane, Stratford, London, E15 4ES",E15 4ES,020 85362244,1849,"London Borough of Newham, London, East Ham, Greater London, England, E15 4ES, United Kingdom","(51.54149158579621, 0.010007379325713993, 0.0)",51.54149158579622,0.0100073793257139,0.0
612,F84731,St. Katherine'S Dock Practice,"12-14 Nightingale House, 50 Thomas More Street, London, E1W 1UA",E1W 1UA,020 74883653,14647,"London Borough of Tower Hamlets, London, Greater London, England, E1W 1UA, United Kingdom","(51.5071804, -0.0682198, 0.0)",51.5071804,-0.0682198,0.0
613,F84733,Health E1,"9 - 11 Brick Lane, London, E1 6PU",E1 6PU,020 72470090,12070,"London Borough of Tower Hamlets, London, Greater London, England, E1 6PU, United Kingdom","(51.51837165451547, -0.07153801870870581, 0.0)",51.51837165451547,-0.0715380187087058,0.0
614,F84735,The Azad Practice,"Boleyn Medical Centre, 152 Barking Road, East Ham, London, E6 3BD",E6 3BD,020 84758550,7467,"London Borough of Newham, London, East Ham, Greater London, England, E6 3BD, United Kingdom","(51.5313615, 0.0452445, 0.0)",51.531361499999996,0.0452445,0.0
615,F84739,E12 Medical Centre,"243 High Street North, Manor Park, London, E12 6SJ",E12 6SJ,020 84702500,8268,"London Borough of Newham, London, East Ham, Greater London, England, E12 6SJ, United Kingdom","(51.540399322907334, 0.050416435906319966, 0.0)",51.54039932290733,0.0504164359063199,0.0
616,F84740,Newham Transitional Practice,"Newham Transitional Prac, 30 Church Road,The Centre, Manor Park, London, E12 6AQ",E12 6AQ,020 85537460,3544,"London Borough of Newham, London, East Ham, Greater London, England, E12 6AQ, United Kingdom","(51.54778475419264, 0.05383311847075445, 0.0)",51.54778475419264,0.0538331184707544,0.0
617,F84741,Dr T Krishnamurthy,"East Ham Memorial Hpl, Shrewsbury Road, Forest Gate, London, E7 8QR",E7 8QR,020 85866555,2541,"London Borough of Newham, London, East Ham, Greater London, England, E7 8QR, United Kingdom","(51.5395875836431, 0.045359573047978774, 0.0)",51.53958758364311,0.0453595730479787,0.0
618,F84742,The Summitt Practice,"East Ham Memorial Bldg, Shrewsbury Road, Forest Gate, London, E7 8QR",E7 8QR,020 85522299,7901,"London Borough of Newham, London, East Ham, Greater London, England, E7 8QR, United Kingdom","(51.5395875836431, 0.045359573047978774, 0.0)",51.53958758364311,0.0453595730479787,0.0
619,F84747,The Barkantine Practice,"Barkantine Centre, 121 Westferry Road, London, E14 8JH",E14 8JH,020 75104000,6907,"London Borough of Tower Hamlets, London, Greater London, England, E14 8JH, United Kingdom","(51.50018981808134, -0.025704251345585887, 0.0)",51.50018981808134,-0.0257042513455858,0.0
620,F84749,Carpenters Practice,"236-252 High Street, Stratford, London, E15 2JA",E15 2JA,020 85348057,10719,"London Borough of Newham, London, East Ham, Greater London, England, E15 2JA, United Kingdom","(51.5372425, -0.0032347, 0.0)",51.5372425,-0.0032347,0.0
621,F84750,Community Dermatology Clinic,"Appleby Centre, 63 Appleby Road, Canning Town, London, E16 1LQ",E16 1LQ,020 74457000,4800,"Keir Hardie Estate, London Borough of Newham, London, East Ham, Greater London, England, E16 1LQ, United Kingdom","(51.51099124034109, 0.016249512912904197, 0.0)",51.51099124034109,0.0162495129129041,0.0
622,F85002,Medicus Health Partners,"Forest Primary Care Ctr, 308A Hertford Road, Edmonton, London, N9 7HD",N9 7HD,020 83444550,8910,"London Borough of Enfield, London, Enfield, Greater London, England, N9 7HD, United Kingdom","(51.63347151028069, -0.05295558420407171, 0.0)",51.633471510280685,-0.0529555842040717,0.0
623,F85004,Eagle House Surgery,"Eagle House Surgery, 291 High Street, Ponders End, Enfield, Middlesex, EN3 4DN",EN3 4DN,020 88058611,15004,"London Borough of Enfield, London, Enfield, Greater London, England, EN3 4DN, United Kingdom","(51.6479019321053, -0.04618626273539159, 0.0)",51.64790193210529,-0.0461862627353915,0.0
624,F85007,Lawrence House Surgery,"Lawrence House Surgery, 107 Philip Lane, Tottenham, London, N15 4JR",N15 4JR,020 88016640,8402,"London Borough of Haringey, London, Wood Green, Greater London, England, N15 4JR, United Kingdom","(51.58910264440471, -0.07870568016998986, 0.0)",51.589102644404704,-0.0787056801699898,0.0
625,F85008,Staunton Group Practice,"Morum House Medical Ctr, 3-5 Bounds Green Road, Wood Green, London, N22 8HE",N22 8HE,020 38057300,6619,"London Borough of Haringey, London, Wood Green, Greater London, England, N22 8HE, United Kingdom","(51.59891788444306, -0.11212579697747742, 0.0)",51.59891788444306,-0.1121257969774774,0.0
626,F85010,Keats Surgery,"Keats Surgery, 290A Church Street, Edmonton, London, N9 9HJ",N9 9HJ,020 88072051,2598,"London Borough of Enfield, London, Enfield, Greater London, England, N9 9HJ, United Kingdom","(51.628864831131985, -0.07691053017621285, 0.0)",51.62886483113199,-0.0769105301762128,0.0
627,F85013,Tynemouth Medical Practice,"Tynemouth Med Practice, Tynemouth Road, Tottenham, London, N15 4RH",N15 4RH,020 88084904,6617,"London Borough of Haringey, London, Wood Green, Greater London, England, N15 4RH, United Kingdom","(51.58625258583277, -0.06833147885334706, 0.0)",51.586252585832774,-0.068331478853347,0.0
628,F85014,Highgate Group Practice,"Highgate Group Practice, 44 North Hill, Highgate, London, N6 4QA",N6 4QA,020 83406628,7196,"London Borough of Haringey, London, Wood Green, Greater London, England, N6 4QA, United Kingdom","(51.57787749861676, -0.1524932348471532, 0.0)",51.57787749861677,-0.1524932348471532,0.0
629,F85016,Cockfosters Medical Ctre,"Cockfosters Medical Ctre, Heddon Court Avenue, Cockfosters, Barnet, Hertfordshire, EN4 9NB",EN4 9NB,020 84417008,4759,"London Borough of Enfield, London, Enfield, Greater London, England, EN4 9NB, United Kingdom","(51.648445311477666, -0.14877593817922477, 0.0)",51.64844531147767,-0.1487759381792247,0.0
630,F85017,Charlton House Medical Centre,"Charlton House Med Ctr, 581 High Road, Tottenham, London, N17 6SB",N17 6SB,020 88082837,4788,"London Borough of Haringey, London, Wood Green, Greater London, England, N17 6SB, United Kingdom","(51.595445163094766, -0.0690812801968361, 0.0)",51.59544516309478,-0.0690812801968361,0.0
631,F85019,Morris House Group Practice,"239 Lordship Lane, Tottenham, London, N17 6AA",N17 6AA,020 32244050,4052,"London Borough of Haringey, London, Wood Green, Greater London, England, N17 6AA, United Kingdom","(51.59776315189201, -0.082050988002961, 0.0)",51.597763151892,-0.082050988002961,0.0
632,F85020,The Woodberry Practice,"The Woodberry Practice, 1 Woodberry Avenue, Winchmore Hill, London, N21 3LE",N21 3LE,020 88862751,4074,"London Borough of Enfield, London, Enfield, Greater London, England, N21 3LE, United Kingdom","(51.62725070599517, -0.1003849671244744, 0.0)",51.627250705995166,-0.1003849671244744,0.0
633,F85023,The Ordnance Unity Centre For Health,"645 Hertford Road, Enfield, Middlesex, EN3 6ND",EN3 6ND,01992 761185,5595,"London Borough of Enfield, London, Enfield, Greater London, England, EN3 6ND, United Kingdom","(51.672760852150425, -0.03892705068032557, 0.0)",51.67276085215042,-0.0389270506803255,0.0
634,F85025,White Lodge Medical Practice,"White Lodge Medical Pract, 68 Silver Street, Enfield, Middlesex, EN1 3EW",EN1 3EW,020 83634156,4203,"London Borough of Enfield, London, Enfield, Greater London, England, EN1 3EW, United Kingdom","(51.6543325, -0.0808805, 0.0)",51.6543325,-0.0808805,0.0
635,F85028,Bruce Grove Primary Health Care Ctr,"The Surgery, 461-463 High Road, Tottenham, London, N17 6QB",N17 6QB,020 88084710,3596,"London Borough of Haringey, London, Wood Green, Greater London, England, N17 6QB, United Kingdom","(51.59200199659855, -0.07016651856795297, 0.0)",51.59200199659855,-0.0701665185679529,0.0
636,F85029,Abernethy House Surgery,"Abernethy House Surgery, 70 Silver Street, Enfield, Middlesex, EN1 3EB",EN1 3EB,020 83704940,2500,"London Borough of Enfield, London, Enfield, Greater London, England, EN1 3EB, United Kingdom","(51.654543249999996, -0.081131525, 0.0)",51.65454325,-0.081131525,0.0
637,F85030,Somerset Gardens Family Health Centre,"Somerset Gdns Fam Hth Ctr, 4 Creighton Road, Tottenham, London, N17 8NW",N17 8NW,020 82756410,4860,"London Borough of Haringey, London, Wood Green, Greater London, England, N17 8NW, United Kingdom","(51.60533816802092, -0.07347134143260795, 0.0)",51.60533816802093,-0.0734713414326079,0.0
638,F85031,Westbury Medical Centre,"The Surgery, 205 Westbury Avenue, Wood Green, London, N22 6RX",N22 6RX,020 88883021,3347,"London Borough of Haringey, London, Wood Green, Greater London, England, N22 6RX, United Kingdom","(51.5980098, -0.0934014, 0.0)",51.5980098,-0.0934014,0.0
639,F85032,Southgate,"The Surgery, 270 Chase Side, Southgate, London, N14 4PR",N14 4PR,020 84409301,2954,"London Borough of Enfield, London, Enfield, Greater London, England, N14 4PR, United Kingdom","(51.6403025, -0.1426597, 0.0)",51.640302500000004,-0.14265970000000006,0.0
640,F85033,Winchmore Hill Practice,"808 Green Lanes, Winchmore Hill, London, N21 2SA",N21 2SA,020 83505000,4505,"London Borough of Enfield, London, Enfield, Greater London, England, N21 2SA, United Kingdom","(51.6332477, -0.0937945, 0.0)",51.6332477,-0.0937945,0.0
641,F85034,Arcadian Gardens Surgery,"1 Arcadian Gardens, Wood Green, London, N22 5AB",N22 5AB,020 88884142,2625,"London Borough of Haringey, London, Wood Green, Greater London, England, N22 5AB, United Kingdom","(51.60672683324012, -0.1107733097541682, 0.0)",51.60672683324012,-0.1107733097541682,0.0
642,F85035,Highlands Practice,"Highlands Health Centre, 3 Florey Square, Winchmore Hill, London, N21 1UJ",N21 1UJ,020 83609044,3417,"London Borough of Enfield, London, Enfield, Greater London, England, N21 1UJ, United Kingdom","(51.64633691907091, -0.11068815133188485, 0.0)",51.646336919070905,-0.1106881513318848,0.0
643,F85039,Rainbow Practice,"Evergreen Primary Cre Ctr, 1 Smythe Close, Edmonton, N9 0TW",N9 0TW,020 88878329,5075,"London Borough of Enfield, London, Enfield, Greater London, England, N9 0TW, United Kingdom","(51.6237762, -0.0603112, 0.0)",51.6237762,-0.060311199999999995,0.0
644,F85043,Boundary Court Surgery,"The Surg, Evergreen Pcc, 1 Smythe Close, Edmonton, London, N9 0TW",N9 0TW,020 88879938,5487,"London Borough of Enfield, London, Enfield, Greater London, England, N9 0TW, United Kingdom","(51.6237762, -0.0603112, 0.0)",51.6237762,-0.060311199999999995,0.0
645,F85044,The Bounces Road Surgery,"Forest Primary Care Ctr, 308A Hertford Road, Edmonton, London, N9 7HD",N9 7HD,020 83448077,3398,"London Borough of Enfield, London, Enfield, Greater London, England, N9 7HD, United Kingdom","(51.63347151028069, -0.05295558420407171, 0.0)",51.633471510280685,-0.0529555842040717,0.0
646,F85046,Hornsey Park Surgery,"The Surgery, 114 Turnpike Lane, Hornsey, N8 0PH",N8 0PH,020 88882227,13703,"London Borough of Haringey, London, Wood Green, Greater London, England, N8 0PH, United Kingdom","(51.58927467662926, -0.10923095764106705, 0.0)",51.58927467662926,-0.1092309576410669,0.0
647,F85052,Spur Road Surgery,"The Surgery, 1 Spur Road, Tottenham, London, N15 4AA",N15 4AA,020 88009837,6468,"London Borough of Haringey, London, Wood Green, Greater London, England, N15 4AA, United Kingdom","(51.5865971659773, -0.08662091169950614, 0.0)",51.586597165977295,-0.0866209116995061,0.0
648,F85058,Nightingale House Surgery,"Nightingale House Surgery, 1 Nightingale Road, Edmonton, London, N9 8AJ",N9 8AJ,020 88059997,2213,"London Borough of Enfield, London, Enfield, Greater London, England, N9 8AJ, United Kingdom","(51.63295796005692, -0.04598770702842277, 0.0)",51.632957960056935,-0.0459877070284227,0.0
649,F85060,Havergal Surgery,"Havergal Surgery, 9-10 Havergal Villas, Green Lanes, Tottenham, N15 3DY",N15 3DY,020 88886662,3813,"London Borough of Haringey, London, Wood Green, Greater London, England, N15 3DY, United Kingdom","(51.58919418928023, -0.102016229830371, 0.0)",51.589194189280214,-0.10201622983037101,0.0
650,F85061,Christchurch Hall Surgery,"Christchurch Hall Surgery, 20 Edison Road, London, N8 8AE",N8 8AE,020 83402877,3460,"London Borough of Haringey, London, Wood Green, Greater London, England, N8 8AE, United Kingdom","(51.57792099129328, -0.1257223381958608, 0.0)",51.577920991293276,-0.1257223381958608,0.0
651,F85063,The Muswell Hill Practice,"The Muswell Hill Practice, 1 Dukes Avenue, Muswell Hill, London, N10 2PS",N10 2PS,020 83653303,12274,"London Borough of Haringey, London, Wood Green, Greater London, England, N10 2PS, United Kingdom","(51.5917909182153, -0.1416494078439502, 0.0)",51.591790918215295,-0.1416494078439502,0.0
652,F85064,Stuart Crescent Health Centre,"8 Stuart Crescent, Wood Green, London, N22 5NJ",N22 5NJ,020 88891115,9453,"London Borough of Haringey, London, Wood Green, Greater London, England, N22 5NJ, United Kingdom","(51.600623854374874, -0.10985056374858226, 0.0)",51.600623854374895,-0.1098505637485822,0.0
653,F85065,Stuart Crescent Medical Practice,"Stuart Crescent Hlth Ctre, 8 Stuart Crescent, Wood Green, London, N22 5NJ",N22 5NJ,020 36971760,6830,"London Borough of Haringey, London, Wood Green, Greater London, England, N22 5NJ, United Kingdom","(51.600623854374874, -0.10985056374858226, 0.0)",51.600623854374895,-0.1098505637485822,0.0
654,F85066,Bounds Green Group Practice,"Bounds Green Group Pract, Gordon Rd,Bounds Green, New Southgate, London, N11 2PF",N11 2PF,020 88881736,8158,"London Borough of Haringey, London, Wood Green, Greater London, England, N11 2PF, United Kingdom","(51.6069109, -0.126948, 0.0)",51.6069109,-0.126948,0.0
655,F85067,The 157 Medical Practice,"The 157 Medical Practice, 157 Stroud Green Road, Finsbury Park, London, N4 3PZ",N4 3PZ,020 72728823,6738,"London Borough of Islington, London, Islington, Greater London, England, N4 3PZ, United Kingdom","(51.570058904223835, -0.11432852605327576, 0.0)",51.57005890422384,-0.1143285260532757,0.0
656,F85069,Crouch Hall Road Surgery,"Crouch Hall Road Surgery, 48 Crouch Hall Road, Hornsey, London, N8 8HJ",N8 8HJ,020 83405952,18484,"London Borough of Haringey, London, Wood Green, Greater London, England, N8 8HJ, United Kingdom","(51.5796126, -0.126407, 0.0)",51.5796126,-0.126407,0.0
657,F85071,Fernlea Surgery,"114 High Road, South Tottenham, London, N15 6JR",N15 6JR,020 88096445,8129,"London Borough of Haringey, London, Wood Green, Greater London, England, N15 6JR, United Kingdom","(51.57853833219091, -0.07278639538486899, 0.0)",51.578538332190895,-0.0727863953848689,0.0
658,F85072,Grovelands Medical Centre,"Grovelands Medical Centre, 1 Grovelands Road, Palmers Green, London, N13 4RJ",N13 4RJ,020 88824556,4821,"London Borough of Enfield, London, Enfield, Greater London, England, N13 4RJ, United Kingdom","(51.62068524747705, -0.11202827835164747, 0.0)",51.62068524747705,-0.1120282783516474,0.0
659,F85615,Tottenham Health Centre,"759 High Road, Tottenham, London, N17 8AH",N17 8AH,020 88089891,7484,"London Borough of Haringey, London, Wood Green, Greater London, England, N17 8AH, United Kingdom","(51.60476162716421, -0.0684846689742526, 0.0)",51.60476162716421,-0.0684846689742526,0.0
660,F85623,Grove Road Surgery,"1 Grove Road, Tottenham, London, N15 5HJ",N15 5HJ,020 88009781,5601,"London Borough of Haringey, London, Wood Green, Greater London, England, N15 5HJ, United Kingdom","(51.58123813653763, -0.08169321394322478, 0.0)",51.58123813653763,-0.0816932139432247,0.0
661,F85625,Bincote Surgery,"Bincote Surgery, 11 Bincote Road, Enfield, Middlesex, EN2 7RD",EN2 7RD,020 83630585,13126,"London Borough of Enfield, London, Enfield, Greater London, England, EN2 7RD, United Kingdom","(51.653048851366876, -0.10923808451333425, 0.0)",51.65304885136688,-0.1092380845133342,0.0
662,F85628,Dowsett Road Surgery,"The Surgery, 57 Dowsett Road, Tottenham, London, N17 9DL",N17 9DL,020 88084203,20044,"London Borough of Haringey, London, Wood Green, Greater London, England, N17 9DL, United Kingdom","(51.594856334178694, -0.06438583185242377, 0.0)",51.59485633417869,-0.0643858318524237,0.0
663,F85634,East Enfield Practice,"The Surgery, 340 High Street, Enfield, EN3 4DE",EN3 4DE,020 83449710,8871,"London Borough of Enfield, London, Enfield, Greater London, England, EN3 4DE, United Kingdom","(51.64889946493422, -0.04655341872328999, 0.0)",51.64889946493422,-0.0465534187232899,0.0
664,F85640,Cheshire Road Surgery,"The Surgery, 22 Cheshire Road, Wood Green, London, N22 8JJ",N22 8JJ,020 88888378,8300,"London Borough of Haringey, London, Wood Green, Greater London, England, N22 8JJ, United Kingdom","(51.60719181750808, -0.11345289873492832, 0.0)",51.60719181750808,-0.1134528987349283,0.0
665,F85642,The North London Health Centre,"North London Health Ctr., Broomfield Avenue, Palmers Green, London, N13 4JJ",N13 4JJ,020 88863631,8210,"London Borough of Enfield, London, Enfield, Greater London, England, N13 4JJ, United Kingdom","(51.6185336, -0.1118079, 0.0)",51.6185336,-0.1118079,0.0
666,F85650,Morecambe Surgery,"Morecambe Surgery, 1 Morecambe Terrace, Upper Edmonton, London, N18 1LA",N18 1LA,020 88030020,10841,"London Borough of Enfield, London, Enfield, Greater London, England, N18 1LA, United Kingdom","(51.617188, -0.0857787, 0.0)",51.617188,-0.0857786999999999,0.0
667,F85663,Latymer Road Surgery,"The Surgery, 2A Latymer Road, Edmonton, London, N9 9PU",N9 9PU,020 88075363,3783,"London Borough of Enfield, London, Enfield, Greater London, England, N9 9PU, United Kingdom","(51.626987533297296, -0.06680822988076764, 0.0)",51.6269875332973,-0.0668082298807676,0.0
668,F85666,Dr Me Silver'S Practice,"234 Fore Street, Edmonton, London, N18 2LY",N18 2LY,020 88036705,5275,"London Borough of Enfield, London, Enfield, Greater London, England, N18 2LY, United Kingdom","(51.61601381297908, -0.06373133015478213, 0.0)",51.61601381297908,-0.0637313301547821,0.0
669,F85669,West Green Road Surgery,"339-341 West Green Road, Tottenham, London, N15 3PB",N15 3PB,020 88819606,2990,"London Borough of Haringey, London, Wood Green, Greater London, England, N15 3PB, United Kingdom","(51.5859883, -0.09222285, 0.0)",51.5859883,-0.09222285,0.0
670,F85675,The Alexandra Surgery,"The Alexandra Surgery, 125 Alexandra Park Road, Wood Green, London, N22 7UN",N22 7UN,020 88882518,6330,"London Borough of Haringey, London, Wood Green, Greater London, England, N22 7UN, United Kingdom","(51.59914451031813, -0.13710755501716837, 0.0)",51.59914451031813,-0.1371075550171683,0.0
671,F85676,Boundary House Surgery,"Forest Primary Care Ctr, 308A Hertford Road, Edmonton, London, N9 7HD",N9 7HD,020 83443120,5871,"London Borough of Enfield, London, Enfield, Greater London, England, N9 7HD, United Kingdom","(51.63347151028069, -0.05295558420407171, 0.0)",51.633471510280685,-0.0529555842040717,0.0
672,F85678,Town Surgery,"The Surgery, 37 Cecil Road, Enfield, Middlesex, EN2 6TJ",EN2 6TJ,020 30921662,4242,"London Borough of Enfield, London, Enfield, Greater London, England, EN2 6TJ, United Kingdom","(51.650217385646656, -0.08387797478580501, 0.0)",51.650217385646656,-0.0838779747858049,0.0
673,F85682,Chalfont Road Surgery,"Evergreen Primary C.C., 1St Floor 1 Smythe Close, Edmonton, London, N9 0TW",N9 0TW,020 88074505,4209,"London Borough of Enfield, London, Enfield, Greater London, England, N9 0TW, United Kingdom","(51.6237762, -0.0603112, 0.0)",51.6237762,-0.060311199999999995,0.0
674,F85687,Oakwood Medical Centre,"Oakwood Medical Centre, Malcolms Way,Reservoir Rd, Southgate, London, N14 4AQ",N14 4AQ,020 88861115,4897,"London Borough of Enfield, London, Enfield, Greater London, England, N14 4AQ, United Kingdom","(51.646534141870305, -0.13426941266086714, 0.0)",51.646534141870305,-0.1342694126608671,0.0
675,F85688,Rutland House Surgery,"Rutland House Surgery, 40 Colney Hatch Lane, Muswell Hill, London, N10 1DU",N10 1DU,020 88838214,2233,"London Borough of Haringey, London, Wood Green, Greater London, England, N10 1DU, United Kingdom","(51.5951849, -0.1445254, 0.0)",51.5951849,-0.1445254,0.0
676,F85697,The Old Surgery,"572 Green Lanes, Hornsey, London, N8 0RP",N8 0RP,020 88026250,3159,"London Borough of Haringey, London, Wood Green, Greater London, England, N8 0RP, United Kingdom","(51.583629099999996, -0.09972855, 0.0)",51.5836291,-0.09972855,0.0
677,F85700,Arnos Grove Medical Centr,"Arnos Grove Medical Centr, 269 Bowes Road, Southgate, N11 1BD",N11 1BD,020 83684455,2219,"London Borough of Enfield, London, Enfield, Greater London, England, N11 1BD, United Kingdom","(51.61547598085918, -0.1298378067981659, 0.0)",51.61547598085919,-0.1298378067981659,0.0
678,F85701,Gillan House Surgery,"Gillan House Surgery, 457 Green Lanes, Palmers Green, London, N13 4BS",N13 4BS,020 88829393,3831,"City of Westminster, London, Greater London, England, N13 4BS, United Kingdom","(51.494568, -0.1478202, 0.0)",51.494568,-0.1478202,0.0
679,F85705,Js Medical Practice,"107 Philip Lane, Tottenham, London, N15 4JR",N15 4JR,020 88087968,4222,"London Borough of Haringey, London, Wood Green, Greater London, England, N15 4JR, United Kingdom","(51.58910264440471, -0.07870568016998986, 0.0)",51.589102644404704,-0.0787056801699898,0.0
680,F86001,The Firs,"The Firs, 26 Stephenson Road, Walthamstow, London, E17 7JT",E17 7JT,020 82239840,5152,"London Borough of Waltham Forest, London, Walthamstow, Greater London, England, E17 7JT, United Kingdom","(51.58030933638749, -0.0350737716231687, 0.0)",51.580309336387494,-0.0350737716231687,0.0
681,F86004,Handsworth Medical Practice,"The Health Centre, Handsworth Avenue, Highams Park, London, E4 9PD",E4 9PD,020 30069216,3580,"London Borough of Waltham Forest, London, Walthamstow, Greater London, England, E4 9PD, United Kingdom","(51.6076700371559, 0.0005368130430652873, 0.0)",51.6076700371559,0.0005368130430652,0.0
682,F86005,The Penrhyn Surgery,"Penrhyn Surgery, 2A Penrhyn Avenue, Walthamstow, London, E17 5DB",E17 5DB,020 85272563,6314,"London Borough of Waltham Forest, London, Walthamstow, Greater London, England, E17 5DB, United Kingdom","(51.59712419956644, -0.023485430149516116, 0.0)",51.59712419956644,-0.0234854301495161,0.0
683,F86006,Dr S Phillips And Dr M Patel Practice,"266 Lea Bridge Road, Leyton, London, E10 7LD",E10 7LD,020 85391221,7895,"London Borough of Waltham Forest, London, Walthamstow, Greater London, England, E10 7LD, United Kingdom","(51.569476933333334, -0.027150666666666667, 0.0)",51.56947693333333,-0.0271506666666666,0.0
684,F86007,The Forest Edge Practice,"The Forest Edge Practice, Hainault Health Centre, Manford Way, Chigwell, Essex, IG7 4DF",IG7 4DF,020 85009938,13180,"London Borough of Redbridge, London, Greater London, England, IG7 4DF, United Kingdom","(51.60786171785179, 0.10434783013093629, 0.0)",51.60786171785179,0.1043478301309362,0.0
685,F86008,Gants Hill Medical Centre,"63/65 Ethelbert Gardens, Gants Hill, Ilford, Essex, IG2 6UW",IG2 6UW,020 85503740,4429,"London Borough of Redbridge, London, Greater London, England, IG2 6UW, United Kingdom","(51.57715733294847, 0.06445174849392223, 0.0)",51.57715733294847,0.0644517484939222,0.0
686,F86009,The Palms Medical Centre,"The Palms Medical Centre, 97-101 Netley Road, Newbury Park, Ilford, Essex, IG2 7NW",IG2 7NW,020 85546817,6035,"London Borough of Redbridge, London, Greater London, England, IG2 7NW, United Kingdom","(51.57698298997249, 0.0885319041727881, 0.0)",51.57698298997249,0.0885319041727881,0.0
